ad_creative_body,ad_delivery_start_time,funding_entity,spend/lower_bound,spend/upper_bound,impressions/lower_bound,impressions/upper_bound,region_distribution/0/percentage,region_distribution/0/region,region_distribution/1/percentage,region_distribution/1/region,region_distribution/2/percentage,region_distribution/2/region,region_distribution/3/percentage,region_distribution/3/region,region_distribution/4/percentage,region_distribution/4/region,region_distribution/5/percentage,region_distribution/5/region,region_distribution/6/percentage,region_distribution/6/region,region_distribution/7/percentage,region_distribution/7/region,region_distribution/8/percentage,region_distribution/8/region,region_distribution/9/percentage,region_distribution/9/region,region_distribution/10/percentage,region_distribution/10/region,region_distribution/11/percentage,region_distribution/11/region,region_distribution/12/percentage,region_distribution/12/region,region_distribution/13/percentage,region_distribution/13/region,region_distribution/14/percentage,region_distribution/14/region,region_distribution/15/percentage,region_distribution/15/region,region_distribution/16/percentage,region_distribution/16/region,region_distribution/17/percentage,region_distribution/17/region,region_distribution/18/percentage,region_distribution/18/region,region_distribution/19/percentage,region_distribution/19/region,region_distribution/20/percentage,region_distribution/20/region,region_distribution/21/percentage,region_distribution/21/region,region_distribution/22/percentage,region_distribution/22/region,region_distribution/23/percentage,region_distribution/23/region,region_distribution/24/percentage,region_distribution/24/region,region_distribution/25/percentage,region_distribution/25/region,region_distribution/26/percentage,region_distribution/26/region,region_distribution/27/percentage,region_distribution/27/region,region_distribution/28/percentage,region_distribution/28/region,region_distribution/29/percentage,region_distribution/29/region,region_distribution/30/percentage,region_distribution/30/region,region_distribution/31/percentage,region_distribution/31/region,region_distribution/32/percentage,region_distribution/32/region,region_distribution/33/percentage,region_distribution/33/region,region_distribution/34/percentage,region_distribution/34/region,region_distribution/35/percentage,region_distribution/35/region,region_distribution/36/percentage,region_distribution/36/region,region_distribution/37/percentage,region_distribution/37/region,region_distribution/38/percentage,region_distribution/38/region,region_distribution/39/percentage,region_distribution/39/region,region_distribution/40/percentage,region_distribution/40/region,region_distribution/41/percentage,region_distribution/41/region,region_distribution/42/percentage,region_distribution/42/region,region_distribution/43/percentage,region_distribution/43/region,region_distribution/44/percentage,region_distribution/44/region,region_distribution/45/percentage,region_distribution/45/region,region_distribution/46/percentage,region_distribution/46/region,region_distribution/47/percentage,region_distribution/47/region,region_distribution/48/percentage,region_distribution/48/region,region_distribution/49/percentage,region_distribution/49/region,region_distribution/50/percentage,region_distribution/50/region
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"President Trump needs to know YOU stand with him! SB27 is WRONG for California. 

Sign up NOW and join the legal fight and DEMAND PRESIDENT TRUMP IS ON THE BALLOT!",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:35:02+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demand President Trump is on the ballot. SB27 is WRONG for California. Sign up NOW and join the legal fight!,2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URGENT REQUEST: Demand President Trump is on the ballot. Sign up NOW to join the OFFICIAL legal fight! Stand With President Trump and fight back against SB27.,2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Governor Newsom signed SB27, preventing President Trump from appearing on next year's ballot.
 
The law is clearly UNCONSTITUTIONAL and disenfranchises millions of California voters. We need your support to OVERTURN SB27! DEMAND President Trump is on the ballot. 

JOIN THE LEGAL FIGHT NOW >>>",2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liberal California politicians want to keep President Trump off the 2020 ballot. This law is UNCONSTITUTIONAL.

Demand President Trump is on the ballot. SB27 is WRONG for California. 

Sign up NOW and join the legal fight!",2019-08-23T16:34:27+0000,California Republican Party,0,99,0,999,1,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
